supercontig,mic_beg,mic_end,IES_ID,IES_size
supercont2.1,2152992,2156502,IES-00094-r9,3511
supercont2.1,2212005,2215846,IES-00095-r9,3842
supercont2.1,2224656,2231880,IES-00096-r12,7225
supercont2.1,2241838,2243628,IES-00097-r16,1791
supercont2.1,2286832,2289791,IES-00098-r8,2960
supercont2.1,2358363,2359865,IES-00099-r16,1503
supercont2.1,2361476,2362609,IES-00100-r22,1134
supercont2.1,2367900,2368978,IES-00101-r15,1079
supercont2.1,2373962,2377804,IES-00102-r15,3843
supercont2.1,2379227,2384123,IES-00103-r16,4897
supercont2.1,2385088,2387258,IES-00104-r8,2171
supercont2.1,2396884,2399493,IES-00105-r15,2610
supercont2.1,2402495,2403728,IES-00106-r10,1234
supercont2.1,2406239,2408754,IES-00107-r14,2516
supercont2.1,2415218,2418131,IES-00108-r9,2914
supercont2.1,2433176,2434431,IES-00109-r22,1256
supercont2.1,2466273,2467944,IES-00110-r16,1672
supercont2.1,2479502,2480169,IES-00111-r13,668
supercont2.1,2483845,2486439,IES-00112-r11,2595
supercont2.1,2496496,2497718,IES-00113-r12,1223
supercont2.1,2514760,2517617,IES-00114-r15,2858
supercont2.1,2535040,2535701,IES-00115-r9,662
supercont2.1,2542686,2544468,IES-00116-r11,1783
supercont2.1,2588655,2589594,IES-00117-r21,940
supercont2.1,2606320,2609095,IES-00118-r16,2776
supercont2.1,2612776,2616334,IES-00119-r24,3559
supercont2.1,2645552,2649441,IES-00120-r14,3890
supercont2.1,2651295,2652920,IES-00121-r26,1626
supercont2.1,2710739,2717618,IES-00122-r24,6880
supercont2.1,2726788,2727419,IES-00123-r7,632
supercont2.1,2735366,2737499,IES-00124-r13,2134
supercont2.1,2756773,2759755,IES-00125-r11,2983
supercont2.1,2775886,2777918,IES-00126-r17,2033
supercont2.1,2816550,2817399,IES-00127-r16,850
supercont2.1,2842923,2849826,IES-00128-r13,6904
supercont2.1,2850984,2852308,IES-00129-r16,1325
supercont2.1,2864773,2865985,IES-00130-r12,1213
supercont2.1,2903745,2905963,IES-00131-r12,2219
supercont2.1,2907060,2909867,IES-00132-r11,2808
supercont2.1,2965727,2970200,IES-00133-r16,4474
supercont2.1,3030545,3032774,IES-00134-r13,2230
supercont2.1,3061739,3063904,IES-00135-r16,2166
supercont2.1,3100972,3102487,IES-00136-r14,1516
supercont2.1,3122601,3123925,IES-00137-r16,1325
supercont2.1,3126053,3127690,IES-00138-r12,1638
supercont2.1,3148178,3149129,IES-00139-r14,952
supercont2.1,3200157,3201035,IES-00140-r11,879
supercont2.1,3216261,3216710,IES-00141-r14,450
supercont2.1,3221193,3221833,IES-00142-r13,641
supercont2.1,3226328,3228970,IES-00143-r12,2643
supercont2.1,3269193,3269918,IES-00145-r14,726
supercont2.1,3298561,3301234,IES-00146-r20,2674
supercont2.1,3311270,3314049,IES-00147-r7,2780
supercont2.1,3333330,3336179,IES-00148-r16,2850
supercont2.1,3368899,3369143,IES-00149-r12,245
supercont2.1,3395803,3396450,IES-00150-r9,648
supercont2.1,3416483,3418782,IES-00151-r9,2300
supercont2.1,3430266,3439342,IES-00152-r10,9077
supercont2.1,3449063,3452349,IES-00153-r6,3287
supercont2.1,3454503,3456960,IES-00154-r10,2458
supercont2.1,3471060,3474908,IES-00155-r17,3849
supercont2.1,3506321,3506570,IES-00156-r26,250
supercont2.1,3515156,3515595,IES-00157-r12,440
supercont2.1,3524336,3527531,IES-00158-r11,3196
supercont2.10,30536,33144,IES-00159-r11,2609
supercont2.10,34931,39364,IES-00160-r16,4434
supercont2.10,40765,45246,IES-00161-r17,4482
supercont2.10,50837,52787,IES-00162-r4,1951
supercont2.10,60005,61824,IES-00163-r9,1820
supercont2.10,112020,117945,IES-00164-r12,5926
supercont2.10,124473,126767,IES-00165-r14,2295
supercont2.10,135206,138749,IES-00166-r13,3544
supercont2.10,144235,144671,IES-00167-r19,437
supercont2.10,205797,206090,IES-00168-r19,294
supercont2.10,226699,229501,IES-00169-r13,2803
supercont2.10,240135,242054,IES-00170-r14,1920
supercont2.10,315407,318535,IES-00171-r11,3129
supercont2.10,327342,328751,IES-00172-r19,1410
supercont2.10,340936,342354,IES-00173-r9,1419
supercont2.10,347170,348234,IES-00174-r14,1065
supercont2.10,357193,359928,IES-00175-r12,2736
supercont2.10,366900,368615,IES-00176-r5,1716
supercont2.10,376309,377664,IES-00177-r13,1356
supercont2.10,392573,397784,IES-00178-r9,5212
supercont2.10,401161,402198,IES-00179-r11,1038
supercont2.10,413827,416276,IES-00180-r13,2450
supercont2.10,432198,434362,IES-00181-r13,2165
supercont2.10,438741,442707,IES-00182-r8,3967
supercont2.10,449196,451595,IES-00183-r10,2400
supercont2.10,459975,461646,IES-00184-r7,1672
supercont2.10,462819,465402,IES-00185-r11,2584
supercont2.10,470546,472216,IES-00186-r12,1671
supercont2.10,486233,490027,IES-00187-r14,3795
supercont2.10,495883,500022,IES-00188-r14,4140
supercont2.10,524926,527708,IES-00189-r16,2783
supercont2.10,542927,544884,IES-00190-r12,1958
supercont2.10,598051,603906,IES-00191-r12,5856
supercont2.10,653213,662041,IES-00192-r13,8829
supercont2.10,675562,677369,IES-00193-r14,1808
supercont2.10,748177,751109,IES-00194-r13,2933
supercont2.10,775497,776036,IES-00195-r15,540
supercont2.10,811438,811770,IES-00196-r13,333
supercont2.10,817576,821295,IES-00197-r23,3720
supercont2.10,823727,827318,IES-00198-r12,3592
supercont2.10,832045,836276,IES-00199-r19,4232
supercont2.10,863881,865657,IES-00200-r13,1777
supercont2.10,871713,875181,IES-00201-r10,3469
supercont2.10,907759,911571,IES-00202-r15,3813
supercont2.10,945157,950316,IES-00203-r14,5160
supercont2.10,956987,957479,IES-00204-r13,493
supercont2.10,963118,964793,IES-00205-r16,1676
supercont2.10,980882,983998,IES-00206-r7,3117
supercont2.10,1005842,1008164,IES-00207-r7,2323
supercont2.10,1009303,1011909,IES-00208-r11,2607
supercont2.10,1011990,1014405,IES-00209-r15,2416
supercont2.10,1017420,1018370,IES-00210-r10,951
supercont2.10,1040500,1040912,IES-00211-r17,413
supercont2.10,1049491,1057779,IES-00212-r7,8289
supercont2.10,1066935,1070669,IES-00213-r8,3735
supercont2.10,1072303,1075929,IES-00214-r6,3627
supercont2.10,1082572,1083444,IES-00215-r15,873
supercont2.10,1092953,1094043,IES-00216-r16,1091
supercont2.10,1108554,1110638,IES-00217-r11,2085
supercont2.10,1113323,1114181,IES-00218-r18,859
supercont2.10,1124454,1125100,IES-00219-r14,647
supercont2.10,1141949,1144003,IES-00220-r10,2055
supercont2.10,1154723,1156283,IES-00221-r18,1561
supercont2.10,1162994,1164916,IES-00222-r9,1923
supercont2.10,1179224,1179880,IES-00223-r10,657
supercont2.10,1184217,1186177,IES-00224-r14,1961
supercont2.10,1215867,1218049,IES-00225-r14,2183
supercont2.10,1272281,1273517,IES-00226-r12,1237
supercont2.10,1282013,1283795,IES-00227-r20,1783
supercont2.10,1290820,1291764,IES-00228-r14,945
supercont2.10,1334807,1341671,IES-00229-r19,6865
supercont2.10,1365995,1369050,IES-00230-r14,3056
supercont2.10,1425773,1427237,IES-00231-r8,1465
supercont2.10,1435947,1440405,IES-00232-r16,4459
supercont2.10,1471745,1477245,IES-00233-r18,5501
supercont2.10,1483381,1483894,IES-00234-r17,514
supercont2.10,1526648,1528379,IES-00235-r10,1732
supercont2.10,1544770,1546704,IES-00236-r6,1935
supercont2.10,1587629,1590271,IES-00237-r12,2643
supercont2.10,1699340,1701630,IES-00238-r12,2291
supercont2.10,1711603,1712209,IES-00239-r16,607
supercont2.10,1728581,1730145,IES-00240-r13,1565
supercont2.10,1763220,1768596,IES-00241-r8,5377
supercont2.10,1796873,1797740,IES-00242-r13,868
supercont2.10,1801878,1802478,IES-00243-r9,601
supercont2.10,1827195,1828040,IES-00244-r9,846
supercont2.10,1835363,1838857,IES-00245-r18,3495
supercont2.10,1855205,1855911,IES-00246-r15,707
supercont2.10,1861136,1862201,IES-00247-r12,1066
supercont2.10,1891416,1894526,IES-00248-r26,3111
supercont2.10,1899136,1906162,IES-00249-r14,7027
supercont2.10,1943037,1946883,IES-00250-r16,3847
supercont2.10,1969857,1970651,IES-00251-r15,795
supercont2.10,1994480,1996024,IES-00252-r11,1545
supercont2.10,2029392,2033110,IES-00253-r10,3719
supercont2.10,2039042,2040273,IES-00254-r14,1232
supercont2.10,2064127,2065770,IES-00255-r13,1644
supercont2.10,2071493,2074817,IES-00256-r15,3325
supercont2.10,2077209,2081744,IES-00257-r17,4536
supercont2.100,4322,7452,IES-00258-r5,3131
supercont2.100,11915,17342,IES-00259-r14,5428
supercont2.100,21977,26273,IES-00260-r12,4297
supercont2.100,29529,38893,IES-00261-r11,9365
supercont2.100,40104,42938,IES-00262-r9,2835
supercont2.100,45915,55518,IES-00263-r9,9604
supercont2.100,59071,61670,IES-00264-r10,2600
supercont2.100,63735,70374,IES-00265-r12,6640
supercont2.100,98204,101341,IES-00266-r12,3138
supercont2.100,103096,106618,IES-00267-r3,3523
supercont2.100,108887,119441,IES-00268-r11,10555
supercont2.100,122667,124458,IES-00269-r13,1792
supercont2.100,126918,132699,IES-00270-r17,5782
supercont2.100,138744,144232,IES-00271-r32,5489
supercont2.100,148640,151186,IES-00272-r13,2547
supercont2.100,172941,176574,IES-00273-r12,3634
supercont2.100,218930,220500,IES-00274-r12,1571
supercont2.100,230567,232556,IES-00275-r20,1990
supercont2.100,235997,239039,IES-00276-r23,3043
supercont2.100,241208,243394,IES-00277-r16,2187
supercont2.100,247110,248852,IES-00278-r16,1743
supercont2.100,261693,264983,IES-00279-r15,3291
supercont2.100,272112,278894,IES-00280-r14,6783
supercont2.100,282528,283282,IES-00281-r16,755
supercont2.100,285137,292285,IES-00282-r12,7149
supercont2.100,311443,316565,IES-00283-r23,5123
supercont2.100,326159,330055,IES-00284-r11,3897
supercont2.100,332026,341099,IES-00285-r10,9074
supercont2.100,384280,386217,IES-00286-r11,1938
supercont2.101,15262,22258,IES-00287-r12,6997
supercont2.101,42392,44765,IES-00288-r19,2374
supercont2.101,71701,73135,IES-00289-r11,1435
supercont2.101,126624,129841,IES-00290-r12,3218
supercont2.101,151839,156031,IES-00291-r14,4193
supercont2.101,177491,189506,IES-00292-r12,12016
supercont2.101,191825,195441,IES-00293-r10,3617
supercont2.101,208816,210608,IES-00294-r9,1793
supercont2.101,216936,219138,IES-00295-r16,2203
supercont2.101,243597,244357,IES-00296-r7,761
supercont2.101,258437,260222,IES-00297-r14,1786
supercont2.101,262905,264089,IES-00298-r18,1185
supercont2.101,271412,272578,IES-00299-r16,1167
supercont2.101,292862,294118,IES-00300-r10,1257
supercont2.101,320847,322983,IES-00301-r20,2137
supercont2.101,337731,339367,IES-00302-r19,1637
supercont2.101,345506,347188,IES-00303-r15,1683
supercont2.101,359063,363949,IES-00304-r15,4887
supercont2.102,20293,21083,IES-00305-r10,791
supercont2.102,39941,43032,IES-00306-r10,3092
supercont2.102,47276,52373,IES-00307-r15,5098
supercont2.102,57480,61936,IES-00308-r15,4457
supercont2.102,108923,110291,IES-00309-r16,1369
supercont2.102,165158,166492,IES-00310-r17,1335
supercont2.102,180166,183145,IES-00311-r18,2980
supercont2.102,220644,221865,IES-00312-r11,1222
supercont2.102,231231,232489,IES-00313-r16,1259
supercont2.102,235164,236618,IES-00314-r16,1455
supercont2.102,256180,259873,IES-00315-r14,3694
supercont2.102,274509,277710,IES-00316-r11,3202
supercont2.102,291530,294589,IES-00317-r15,3060
supercont2.102,317078,318452,IES-00318-r20,1375
supercont2.102,328796,332575,IES-00319-r23,3780
supercont2.103,10772,16375,IES-00320-r14,5604
supercont2.103,19887,24413,IES-00321-r12,4527
supercont2.103,56663,73661,IES-00323-r17,16999
supercont2.103,79237,80867,IES-00324-r14,1631
supercont2.103,84835,88361,IES-00325-r14,3527
supercont2.103,95037,97235,IES-00326-r16,2199
supercont2.103,101031,105877,IES-00327-r14,4847
supercont2.103,144950,147466,IES-00329-r8,2517
supercont2.103,153297,163553,IES-00330-r8,10257
supercont2.103,164777,166258,IES-00331-r9,1482
supercont2.103,169915,171540,IES-00332-r13,1626
supercont2.103,177372,181792,IES-00333-r14,4421
supercont2.103,186231,186508,IES-00334-r15,278
supercont2.103,188632,196448,IES-00335-r15,7817
supercont2.103,204132,205249,IES-00336-r26,1118
supercont2.103,213054,215926,IES-00337-r10,2873
supercont2.103,222555,223716,IES-00338-r13,1162
supercont2.103,239441,240403,IES-00339-r16,963
supercont2.103,244938,246440,IES-00340-r18,1503
supercont2.103,249439,252744,IES-00341-r18,3306
supercont2.103,261339,262933,IES-00342-r6,1595
supercont2.103,270712,274658,IES-00343-r10,3947
supercont2.103,334667,336661,IES-00344-r6,1995
supercont2.103,363637,372635,IES-00345-r13,8999
supercont2.104,15202,20409,IES-00346-r12,5208
supercont2.104,28645,32205,IES-00347-r12,3561
supercont2.104,37864,43315,IES-00348-r14,5452
supercont2.104,54804,56930,IES-00349-r14,2127
supercont2.104,59798,61520,IES-00350-r18,1723
supercont2.104,69344,71422,IES-00351-r12,2079
supercont2.104,72959,74400,IES-00352-r9,1442
supercont2.104,77593,80831,IES-00353-r21,3239
supercont2.104,82710,89253,IES-00354-r14,6544
supercont2.104,119414,127204,IES-00355-r9,7791
supercont2.104,143185,149011,IES-00356-r14,5827
supercont2.104,150649,151203,IES-00357-r14,555
supercont2.104,154489,159016,IES-00358-r21,4528
supercont2.104,172661,173803,IES-00359-r17,1143
supercont2.104,193510,195148,IES-00360-r14,1639
supercont2.104,202050,207825,IES-00361-r15,5776
supercont2.104,243755,247149,IES-00362-r14,3395
supercont2.104,253105,254591,IES-00363-r10,1487
supercont2.104,274145,279691,IES-00364-r14,5547
supercont2.104,300107,306731,IES-00365-r13,6625
supercont2.104,310752,313978,IES-00366-r25,3227
supercont2.104,319101,325788,IES-00367-r14,6688
supercont2.104,326706,330959,IES-00368-r16,4254
supercont2.104,340676,356102,IES-00369-r12,15427
supercont2.104,369444,377614,IES-00370-r5,8171
supercont2.104,380170,382677,IES-00371-r9,2508
supercont2.105,27301,33329,IES-00372-r13,6029
supercont2.105,51316,53407,IES-00373-r14,2092
supercont2.105,60551,64178,IES-00374-r10,3628
supercont2.105,178353,178536,IES-00375-r21,184
supercont2.105,192639,193610,IES-00376-r6,972
supercont2.105,200706,201477,IES-00377-r8,772
supercont2.105,223317,224073,IES-00378-r6,757
supercont2.105,230640,234040,IES-00379-r5,3401
supercont2.105,240231,243912,IES-00380-r9,3682
supercont2.105,268598,273730,IES-00381-r12,5133
supercont2.105,280795,281668,IES-00382-r4,874
supercont2.105,292368,304680,IES-00383-r5,12313
supercont2.105,308335,312598,IES-00384-r7,4264
supercont2.105,317565,322153,IES-00385-r5,4589
supercont2.105,346758,348706,IES-00386-r10,1949
supercont2.106,18632,20011,IES-00388-r14,1380
supercont2.106,24057,25578,IES-00389-r9,1522
supercont2.106,26449,29835,IES-00390-r10,3387
supercont2.106,51856,53655,IES-00392-r8,1800
supercont2.106,65343,74737,IES-00393-r7,9395
supercont2.106,92200,98405,IES-00394-r10,6206
supercont2.106,100437,102535,IES-00395-r4,2099
supercont2.106,112245,114775,IES-00396-r12,2531
supercont2.106,118513,131581,IES-00397-r9,13069
supercont2.106,135555,148748,IES-00398-r16,13194
supercont2.106,164191,167599,IES-00399-r19,3409
supercont2.106,196338,203056,IES-00400-r17,6719
supercont2.106,204685,205474,IES-00401-r12,790
supercont2.106,208706,209637,IES-00402-r12,932
supercont2.106,217448,219466,IES-00403-r12,2019
supercont2.106,221700,223452,IES-00404-r15,1753
supercont2.106,226937,227439,IES-00405-r17,503
supercont2.106,248825,250671,IES-00406-r9,1847
supercont2.106,257801,262364,IES-00407-r19,4564
supercont2.106,291030,293686,IES-00408-r17,2657
supercont2.106,319026,320658,IES-00409-r19,1633
supercont2.106,327688,329775,IES-00410-r21,2088
supercont2.106,353409,354800,IES-00411-r19,1392
supercont2.107,30205,37165,IES-00414-r13,6961
supercont2.107,39626,42527,IES-00415-r15,2902
supercont2.107,72290,76335,IES-00416-r5,4046
supercont2.107,84530,86368,IES-00417-r15,1839
supercont2.107,115744,117721,IES-00418-r14,1978
supercont2.107,155223,155838,IES-00419-r13,616
supercont2.107,158977,160769,IES-00420-r8,1793
supercont2.107,180295,184090,IES-00421-r17,3796
supercont2.107,210260,212218,IES-00422-r17,1959
supercont2.107,245801,247825,IES-00423-r5,2025
supercont2.107,281119,285688,IES-00424-r11,4570
supercont2.107,290096,292933,IES-00425-r13,2838
supercont2.107,313211,314388,IES-00426-r9,1178
supercont2.107,327333,333319,IES-00427-r14,5987
supercont2.107,339562,341330,IES-00428-r9,1769
supercont2.107,346744,349747,IES-00429-r13,3004
supercont2.107,358552,362307,IES-00430-r11,3756
supercont2.107,364546,367256,IES-00431-r12,2711
supercont2.108,15110,18046,IES-00432-r14,2937
supercont2.108,23845,28780,IES-00433-r19,4936
supercont2.108,60925,68278,IES-00434-r9,7354
supercont2.108,70344,73651,IES-00435-r9,3308
supercont2.108,76697,78637,IES-00436-r11,1941
supercont2.108,83655,85044,IES-00437-r19,1390
supercont2.108,104971,108158,IES-00438-r10,3188
supercont2.108,165237,166738,IES-00439-r6,1502
supercont2.108,172950,179837,IES-00440-r15,6888
supercont2.108,220126,224287,IES-00441-r14,4162
supercont2.108,277108,279134,IES-00442-r11,2027
supercont2.108,301997,304384,IES-00443-r17,2388
supercont2.108,322406,324359,IES-00444-r12,1954
supercont2.108,326175,330252,IES-00445-r9,4078
supercont2.108,332286,333412,IES-00446-r13,1127
supercont2.109,10853,13060,IES-00447-r9,2208
supercont2.109,82435,84844,IES-00448-r9,2410
supercont2.109,101921,111704,IES-00449-r11,9784
supercont2.109,188353,190934,IES-00450-r11,2582
supercont2.109,198583,202461,IES-00451-r20,3879
supercont2.109,210246,212763,IES-00452-r14,2518
supercont2.109,219580,224812,IES-00453-r9,5233
supercont2.109,228821,231107,IES-00454-r11,2287
supercont2.109,236154,237009,IES-00455-r7,856
supercont2.109,238184,238739,IES-00456-r13,556
supercont2.109,251810,254152,IES-00457-r18,2343
supercont2.109,256829,258022,IES-00458-r21,1194
supercont2.109,259444,264048,IES-00459-r22,4605
supercont2.109,280371,281292,IES-00460-r17,922
supercont2.109,289996,292079,IES-00461-r17,2084
supercont2.109,299723,301684,IES-00462-r19,1962
supercont2.109,327354,329630,IES-00463-r17,2277
supercont2.109,344278,346508,IES-00464-r12,2231
supercont2.11,36865,37916,IES-00465-r6,1052
supercont2.11,46789,48782,IES-00466-r8,1994
supercont2.11,130010,130695,IES-00467-r14,686
supercont2.11,146893,148800,IES-00468-r10,1908
supercont2.11,154846,157027,IES-00469-r11,2182
supercont2.11,201564,203077,IES-00470-r14,1514
supercont2.11,208226,213501,IES-00471-r14,5276
supercont2.11,258248,260430,IES-00472-r11,2183
supercont2.11,271978,272730,IES-00473-r9,753
supercont2.11,275651,276225,IES-00474-r13,575
supercont2.11,406479,408176,IES-00475-r6,1698
supercont2.11,415198,416933,IES-00476-r21,1736
supercont2.11,440226,442426,IES-00477-r7,2201
supercont2.11,538272,539422,IES-00478-r21,1151
supercont2.11,571025,573592,IES-00479-r11,2568
supercont2.11,585121,585955,IES-00480-r18,835
supercont2.11,620259,623086,IES-00481-r15,2828
supercont2.11,713322,714254,IES-00482-r16,933
supercont2.11,738023,739560,IES-00483-r21,1538
supercont2.11,744863,750165,IES-00484-r16,5303
supercont2.11,807731,810371,IES-00485-r12,2641
supercont2.11,813403,817281,IES-00486-r17,3879
supercont2.11,883623,885020,IES-00487-r11,1398
supercont2.11,910113,911869,IES-00488-r19,1757
supercont2.11,912709,914111,IES-00489-r21,1403
supercont2.11,1004947,1006255,IES-00490-r17,1309
supercont2.11,1019581,1022308,IES-00491-r23,2728
supercont2.11,1174446,1177963,IES-00492-r11,3518
supercont2.11,1230385,1232875,IES-00493-r21,2491
supercont2.11,1237896,1239092,IES-00494-r9,1197
supercont2.11,1255577,1256970,IES-00495-r16,1394
supercont2.11,1374149,1376120,IES-00497-r13,1972
supercont2.11,1395212,1396245,IES-00498-r13,1034
supercont2.11,1398641,1399527,IES-00499-r16,887
supercont2.11,1442723,1444626,IES-00500-r20,1904
supercont2.11,1458052,1458799,IES-00501-r14,748
supercont2.11,1513081,1515742,IES-00502-r16,2662
supercont2.11,1583456,1585677,IES-00503-r13,2222
supercont2.11,1591098,1592186,IES-00504-r5,1089
supercont2.11,1596066,1598985,IES-00505-r11,2920
supercont2.11,1704449,1707045,IES-00506-r24,2597
supercont2.11,1733402,1741348,IES-00507-r8,7947
supercont2.11,1835377,1836968,IES-00508-r14,1592
supercont2.11,1916301,1917481,IES-00509-r17,1181
supercont2.11,1923748,1926031,IES-00510-r16,2284
supercont2.110,11294,18989,IES-00511-r16,7696
supercont2.110,20475,23879,IES-00512-r8,3405
supercont2.110,25899,29396,IES-00513-r10,3498
supercont2.110,31528,35613,IES-00514-r11,4086
supercont2.110,37402,40995,IES-00515-r12,3594
supercont2.110,45713,46931,IES-00516-r7,1219
supercont2.110,50944,55013,IES-00517-r6,4070
supercont2.110,56860,57212,IES-00518-r11,353
supercont2.110,61342,68703,IES-00519-r7,7362
supercont2.110,71064,75212,IES-00520-r9,4149
supercont2.110,96546,98169,IES-00521-r15,1624
supercont2.110,109691,110221,IES-00522-r22,531
supercont2.110,112689,121906,IES-00523-r10,9218
supercont2.110,127312,131215,IES-00524-r17,3904
supercont2.110,132886,134546,IES-00525-r10,1661
supercont2.110,145876,149813,IES-00526-r13,3938
supercont2.110,160584,161437,IES-00527-r14,854
supercont2.110,173839,178910,IES-00528-r11,5072
supercont2.110,190968,197012,IES-00529-r11,6045
supercont2.110,208222,209394,IES-00530-r14,1173
supercont2.110,224259,226004,IES-00531-r21,1746
supercont2.110,268810,271237,IES-00532-r9,2428
supercont2.110,322519,325758,IES-00533-r8,3240
supercont2.111,74088,78114,IES-00534-r9,4027
supercont2.111,81413,84645,IES-00535-r14,3233
supercont2.111,126716,128459,IES-00536-r7,1744
supercont2.111,179809,180701,IES-00537-r16,893
supercont2.111,259523,262500,IES-00538-r11,2978
supercont2.111,263472,266997,IES-00539-r9,3526
supercont2.111,273424,274895,IES-00540-r4,1472
supercont2.112,3691,15332,IES-00541-r12,11642
supercont2.112,17034,18670,IES-00542-r11,1637
supercont2.112,21910,29685,IES-00543-r12,7776
supercont2.112,56989,57563,IES-00544-r16,575
supercont2.112,59830,68567,IES-00545-r14,8738
supercont2.112,92082,95962,IES-00547-r4,3881
supercont2.112,100029,105416,IES-00548-r14,5388
supercont2.112,111497,113107,IES-00549-r11,1611
supercont2.112,129762,131108,IES-00550-r15,1347
supercont2.112,133944,137911,IES-00551-r20,3968
supercont2.112,162489,168610,IES-00552-r6,6122
supercont2.112,173492,189991,IES-00553-r8,16500
supercont2.112,199242,201755,IES-00554-r16,2514
